Date,Open,High,Low,Close,Adj Close,Volume,JVA
2015-03-16,4.620000,4.760000,4.520000,4.650000,4.650000,86200,JVA
2015-03-17,4.680000,4.680000,4.510000,4.560000,4.560000,63000,JVA
2015-03-18,4.560000,4.580000,4.500000,4.540000,4.540000,28900,JVA
2015-03-19,4.500000,4.710000,4.500000,4.700000,4.700000,36200,JVA
2015-03-20,4.730000,4.750000,4.690000,4.700000,4.700000,33100,JVA
2015-03-23,4.690000,4.750000,4.690000,4.740000,4.740000,14600,JVA
2015-03-24,4.750000,5.000000,4.750000,4.960000,4.960000,90000,JVA
2015-03-25,4.950000,4.980000,4.820000,4.820000,4.820000,44100,JVA
2015-03-26,4.810000,4.860000,4.740000,4.790000,4.790000,13600,JVA
2015-03-27,4.750000,4.790000,4.740000,4.750000,4.750000,4700,JVA
2015-03-30,4.750000,4.880000,4.750000,4.830000,4.830000,17700,JVA
2015-03-31,4.830000,4.900000,4.730000,4.870000,4.870000,9200,JVA
2015-04-01,4.800000,4.880000,4.740000,4.810000,4.810000,24800,JVA
2015-04-02,4.830000,5.110000,4.830000,5.060000,5.060000,115300,JVA
2015-04-06,5.010000,5.080000,4.950000,5.050000,5.050000,32100,JVA
2015-04-07,5.020000,5.100000,5.020000,5.040000,5.040000,14900,JVA
2015-04-08,5.060000,5.120000,5.050000,5.050000,5.050000,20200,JVA
2015-04-09,5.120000,5.250000,5.120000,5.120000,5.120000,16600,JVA
2015-04-10,5.180000,5.190000,4.920000,4.960000,4.960000,61900,JVA
2015-04-13,4.960000,5.070000,4.920000,5.010000,5.010000,29400,JVA
2015-04-14,5.040000,5.060000,5.000000,5.030000,5.030000,16000,JVA
2015-04-15,5.020000,5.070000,5.000000,5.050000,5.050000,14600,JVA
2015-04-16,5.050000,5.070000,4.970000,4.980000,4.980000,19200,JVA
2015-04-17,4.950000,5.040000,4.940000,4.960000,4.960000,14200,JVA
2015-04-20,5.000000,5.000000,4.820000,4.900000,4.900000,28500,JVA
2015-04-21,4.870000,4.960000,4.870000,4.920000,4.920000,15400,JVA
2015-04-22,4.950000,5.000000,4.900000,4.900000,4.900000,11100,JVA
2015-04-23,4.920000,4.990000,4.920000,4.960000,4.960000,6200,JVA
2015-04-24,4.990000,5.100000,4.700000,4.880000,4.880000,58600,JVA
2015-04-27,4.880000,4.940000,4.750000,4.830000,4.830000,24300,JVA
2015-04-28,4.830000,4.830000,4.800000,4.820000,4.820000,13700,JVA
2015-04-29,4.820000,4.960000,4.820000,4.850000,4.850000,16700,JVA
2015-04-30,4.900000,4.950000,4.820000,4.860000,4.860000,14900,JVA
2015-05-01,4.870000,4.920000,4.830000,4.830000,4.830000,17700,JVA
2015-05-04,4.810000,4.940000,4.760000,4.770000,4.770000,32800,JVA
2015-05-05,4.750000,4.880000,4.750000,4.770000,4.770000,18400,JVA
2015-05-06,4.750000,4.860000,4.710000,4.770000,4.770000,19400,JVA
2015-05-07,4.780000,4.780000,4.700000,4.740000,4.740000,15200,JVA
2015-05-08,4.740000,4.830000,4.730000,4.740000,4.740000,23700,JVA
2015-05-11,4.740000,4.790000,4.700000,4.740000,4.740000,15700,JVA
2015-05-12,4.700000,4.800000,4.700000,4.800000,4.800000,10000,JVA
2015-05-13,4.830000,4.870000,4.740000,4.790000,4.790000,11000,JVA
2015-05-14,4.850000,4.880000,4.790000,4.800000,4.800000,10300,JVA
2015-05-15,4.820000,4.880000,4.750000,4.840000,4.840000,12400,JVA
2015-05-18,4.850000,4.890000,4.760000,4.890000,4.890000,32400,JVA
2015-05-19,4.900000,4.900000,4.860000,4.900000,4.900000,38100,JVA
2015-05-20,4.920000,4.920000,4.800000,4.860000,4.860000,30300,JVA
2015-05-21,4.840000,4.860000,4.800000,4.840000,4.840000,12400,JVA
2015-05-22,4.840000,4.870000,4.760000,4.820000,4.820000,12900,JVA
2015-05-26,4.850000,4.920000,4.830000,4.890000,4.890000,26500,JVA
2015-05-27,4.890000,4.940000,4.880000,4.880000,4.880000,13300,JVA
2015-05-28,4.920000,4.950000,4.870000,4.920000,4.920000,13100,JVA
2015-05-29,4.910000,4.920000,4.820000,4.840000,4.840000,9000,JVA
2015-06-01,4.810000,4.850000,4.790000,4.830000,4.830000,32600,JVA
2015-06-02,4.790000,4.850000,4.790000,4.820000,4.820000,14300,JVA
2015-06-03,4.800000,5.000000,4.780000,4.980000,4.980000,72200,JVA
2015-06-04,4.970000,5.100000,4.910000,5.030000,5.030000,55400,JVA
2015-06-05,5.070000,5.080000,5.030000,5.050000,5.050000,17500,JVA
2015-06-08,5.010000,5.080000,4.960000,5.070000,5.070000,29100,JVA
2015-06-09,5.080000,5.180000,5.010000,5.120000,5.120000,54600,JVA
2015-06-10,5.100000,5.250000,5.100000,5.110000,5.110000,60000,JVA
2015-06-11,4.950000,5.250000,4.800000,5.100000,5.100000,179300,JVA
2015-06-12,5.060000,5.150000,4.860000,5.150000,5.150000,78200,JVA
2015-06-15,5.080000,5.200000,5.080000,5.190000,5.190000,39300,JVA
2015-06-16,5.220000,5.230000,5.150000,5.230000,5.230000,59700,JVA
2015-06-17,5.190000,5.240000,5.180000,5.230000,5.230000,24200,JVA
2015-06-18,5.200000,5.500000,5.190000,5.470000,5.470000,83300,JVA
2015-06-19,5.500000,5.500000,5.380000,5.420000,5.420000,12700,JVA
2015-06-22,5.450000,5.480000,5.320000,5.460000,5.460000,35500,JVA
2015-06-23,5.420000,5.420000,5.330000,5.360000,5.360000,29600,JVA
2015-06-24,5.380000,5.440000,5.290000,5.340000,5.340000,28600,JVA
2015-06-25,5.320000,5.320000,5.120000,5.140000,5.140000,93300,JVA
2015-06-26,5.360000,5.360000,5.080000,5.200000,5.200000,20100,JVA
2015-06-29,5.100000,5.150000,5.020000,5.050000,5.050000,58600,JVA
2015-06-30,5.020000,5.280000,4.980000,4.980000,4.980000,105400,JVA
2015-07-01,5.000000,5.140000,4.980000,5.010000,5.010000,36200,JVA
2015-07-02,5.000000,5.030000,4.950000,4.960000,4.960000,24200,JVA
2015-07-06,4.950000,4.950000,4.800000,4.890000,4.890000,37600,JVA
2015-07-07,4.910000,5.000000,4.800000,4.960000,4.960000,39200,JVA
2015-07-08,4.950000,5.060000,4.870000,4.980000,4.980000,49900,JVA
2015-07-09,5.010000,5.090000,4.960000,4.980000,4.980000,19800,JVA
2015-07-10,5.030000,5.090000,5.010000,5.020000,5.020000,29200,JVA
2015-07-13,5.030000,5.150000,5.010000,5.030000,5.030000,13700,JVA
2015-07-14,5.040000,5.050000,5.020000,5.020000,5.020000,5000,JVA
2015-07-15,5.090000,5.090000,5.010000,5.010000,5.010000,19200,JVA
2015-07-16,5.010000,5.070000,5.010000,5.060000,5.060000,25000,JVA
2015-07-17,5.070000,5.070000,5.020000,5.020000,5.020000,14100,JVA
2015-07-20,5.010000,5.030000,4.850000,4.930000,4.930000,73200,JVA
2015-07-21,4.900000,5.020000,4.900000,4.920000,4.920000,39000,JVA
2015-07-22,4.920000,5.000000,4.890000,4.920000,4.920000,27200,JVA
2015-07-23,4.920000,4.920000,4.850000,4.890000,4.890000,19900,JVA
2015-07-24,4.920000,4.960000,4.850000,4.880000,4.880000,7500,JVA
2015-07-27,4.880000,4.950000,4.800000,4.940000,4.940000,54000,JVA
2015-07-28,4.900000,4.900000,4.810000,4.810000,4.810000,20600,JVA
2015-07-29,4.800000,5.000000,4.800000,4.970000,4.970000,26600,JVA
2015-07-30,4.970000,5.010000,4.900000,4.960000,4.960000,12000,JVA
2015-07-31,5.010000,5.070000,5.000000,5.030000,5.030000,17100,JVA
2015-08-03,5.060000,5.070000,5.020000,5.020000,5.020000,9400,JVA
2015-08-04,5.010000,5.070000,4.950000,4.990000,4.990000,12300,JVA
2015-08-05,5.040000,5.040000,4.950000,4.990000,4.990000,22200,JVA
2015-08-06,4.960000,5.050000,4.910000,4.950000,4.950000,18500,JVA
2015-08-07,4.860000,4.970000,4.820000,4.830000,4.830000,11800,JVA
2015-08-10,4.990000,4.990000,4.730000,4.750000,4.750000,45300,JVA
2015-08-11,4.760000,4.920000,4.700000,4.730000,4.730000,16800,JVA
2015-08-12,4.690000,4.730000,4.670000,4.700000,4.700000,5300,JVA
2015-08-13,4.860000,4.860000,4.700000,4.720000,4.720000,14400,JVA
2015-08-14,4.800000,4.810000,4.750000,4.770000,4.770000,3000,JVA
2015-08-17,4.770000,4.770000,4.730000,4.730000,4.730000,3400,JVA
2015-08-18,4.750000,4.800000,4.700000,4.720000,4.720000,13100,JVA
2015-08-19,4.770000,4.820000,4.690000,4.740000,4.740000,20900,JVA
2015-08-20,4.700000,4.800000,4.650000,4.680000,4.680000,24800,JVA
2015-08-21,4.630000,4.740000,4.530000,4.570000,4.570000,29900,JVA
2015-08-24,4.500000,4.520000,4.480000,4.480000,4.480000,42100,JVA
2015-08-25,4.490000,4.520000,4.350000,4.350000,4.350000,20500,JVA
2015-08-26,4.470000,4.470000,4.360000,4.370000,4.370000,9500,JVA
2015-08-27,4.480000,4.680000,4.480000,4.580000,4.580000,19700,JVA
2015-08-28,4.570000,4.770000,4.570000,4.630000,4.630000,13700,JVA
2015-08-31,4.670000,4.740000,4.630000,4.650000,4.650000,9400,JVA
2015-09-01,4.540000,4.680000,4.540000,4.610000,4.610000,13700,JVA
2015-09-02,4.610000,4.780000,4.600000,4.700000,4.700000,22100,JVA
2015-09-03,4.680000,4.710000,4.610000,4.650000,4.650000,12800,JVA
2015-09-04,4.580000,4.810000,4.530000,4.530000,4.530000,15100,JVA
2015-09-08,4.710000,4.940000,4.630000,4.890000,4.890000,21700,JVA
2015-09-09,4.830000,4.920000,4.750000,4.750000,4.750000,7100,JVA
2015-09-10,4.660000,4.930000,4.620000,4.660000,4.660000,15000,JVA
2015-09-11,4.550000,4.780000,4.500000,4.670000,4.670000,39400,JVA
2015-09-14,4.620000,4.830000,4.570000,4.580000,4.580000,33700,JVA
2015-09-15,4.580000,4.750000,4.160000,4.380000,4.380000,83300,JVA
2015-09-16,4.330000,4.430000,4.090000,4.330000,4.330000,50400,JVA
2015-09-17,4.330000,4.400000,4.250000,4.260000,4.260000,15700,JVA
2015-09-18,4.260000,4.380000,4.250000,4.300000,4.300000,22200,JVA
2015-09-21,4.360000,4.360000,4.250000,4.270000,4.270000,12700,JVA
2015-09-22,4.250000,4.260000,4.100000,4.180000,4.180000,14100,JVA
2015-09-23,4.190000,4.240000,4.060000,4.100000,4.100000,19000,JVA
2015-09-24,4.120000,4.250000,4.080000,4.110000,4.110000,29700,JVA
2015-09-25,4.120000,4.240000,4.100000,4.160000,4.160000,24500,JVA
2015-09-28,4.100000,4.150000,3.900000,3.900000,3.900000,34800,JVA
2015-09-29,4.000000,4.140000,3.930000,3.940000,3.940000,39700,JVA
2015-09-30,4.000000,4.000000,3.800000,3.910000,3.910000,51800,JVA
2015-10-01,3.900000,4.070000,3.900000,3.940000,3.940000,33600,JVA
2015-10-02,3.740000,3.970000,3.740000,3.950000,3.950000,58800,JVA
2015-10-05,3.930000,4.220000,3.930000,4.170000,4.170000,45200,JVA
2015-10-06,4.180000,4.420000,4.050000,4.220000,4.220000,190900,JVA
2015-10-07,4.270000,4.270000,4.100000,4.110000,4.110000,41400,JVA
2015-10-08,4.150000,4.150000,4.020000,4.050000,4.050000,43100,JVA
2015-10-09,4.060000,4.330000,4.030000,4.130000,4.130000,51200,JVA
2015-10-12,4.180000,4.390000,4.100000,4.100000,4.100000,14800,JVA
2015-10-13,4.120000,4.220000,4.010000,4.050000,4.050000,25400,JVA
2015-10-14,4.080000,4.300000,4.060000,4.160000,4.160000,25900,JVA
2015-10-15,4.120000,4.330000,4.120000,4.220000,4.220000,17600,JVA
2015-10-16,4.240000,4.380000,4.140000,4.290000,4.290000,29100,JVA
2015-10-19,4.290000,4.310000,4.200000,4.300000,4.300000,7900,JVA
2015-10-20,4.280000,4.280000,4.110000,4.210000,4.210000,20900,JVA
2015-10-21,4.210000,4.270000,4.110000,4.180000,4.180000,15200,JVA
2015-10-22,4.220000,4.220000,4.100000,4.120000,4.120000,11200,JVA
2015-10-23,4.120000,4.300000,4.120000,4.120000,4.120000,12800,JVA
2015-10-26,4.080000,4.180000,4.080000,4.120000,4.120000,8900,JVA
2015-10-27,4.110000,4.140000,4.000000,4.060000,4.060000,12800,JVA
2015-10-28,4.070000,4.180000,4.050000,4.160000,4.160000,27300,JVA
2015-10-29,4.140000,4.220000,4.090000,4.200000,4.200000,8400,JVA
2015-10-30,4.230000,4.270000,4.180000,4.250000,4.250000,6100,JVA
2015-11-02,4.300000,4.300000,4.120000,4.210000,4.210000,9200,JVA
2015-11-03,4.170000,4.300000,4.130000,4.220000,4.220000,12700,JVA
2015-11-04,4.150000,4.300000,4.150000,4.270000,4.270000,14900,JVA
2015-11-05,4.220000,4.280000,4.190000,4.230000,4.230000,7000,JVA
2015-11-06,4.300000,4.300000,4.100000,4.160000,4.160000,7300,JVA
2015-11-09,4.110000,4.170000,4.110000,4.150000,4.150000,7000,JVA
2015-11-10,4.080000,4.140000,4.070000,4.140000,4.140000,15400,JVA
2015-11-11,4.100000,4.200000,4.060000,4.100000,4.100000,10700,JVA
2015-11-12,4.260000,4.260000,4.100000,4.190000,4.190000,28400,JVA
2015-11-13,4.150000,4.150000,4.100000,4.130000,4.130000,3100,JVA
2015-11-16,4.150000,4.210000,4.070000,4.170000,4.170000,11900,JVA
2015-11-17,4.090000,4.130000,4.050000,4.120000,4.120000,23200,JVA
2015-11-18,4.060000,4.120000,4.060000,4.080000,4.080000,9200,JVA
2015-11-19,4.110000,4.250000,4.110000,4.210000,4.210000,24400,JVA
2015-11-20,4.250000,4.270000,4.140000,4.190000,4.190000,24400,JVA
2015-11-23,4.190000,4.210000,4.160000,4.200000,4.200000,6800,JVA
2015-11-24,4.210000,4.210000,4.150000,4.200000,4.200000,15300,JVA
2015-11-25,4.210000,4.330000,4.150000,4.270000,4.270000,22900,JVA
2015-11-27,4.290000,4.290000,4.220000,4.250000,4.250000,1800,JVA
2015-11-30,4.230000,4.300000,4.150000,4.300000,4.300000,15500,JVA
2015-12-01,4.240000,4.320000,4.180000,4.180000,4.180000,5800,JVA
2015-12-02,4.170000,4.300000,4.060000,4.200000,4.200000,13900,JVA
2015-12-03,4.180000,4.180000,4.110000,4.110000,4.110000,5000,JVA
2015-12-04,4.150000,4.210000,4.080000,4.200000,4.200000,10900,JVA
2015-12-07,4.350000,4.900000,4.200000,4.430000,4.430000,242000,JVA
2015-12-08,4.370000,4.580000,4.160000,4.290000,4.290000,63200,JVA
2015-12-09,4.200000,4.290000,4.160000,4.260000,4.260000,11300,JVA
2015-12-10,4.260000,4.260000,4.120000,4.210000,4.210000,17000,JVA
2015-12-11,4.120000,4.220000,4.120000,4.140000,4.140000,35200,JVA
2015-12-14,4.160000,4.170000,4.030000,4.170000,4.170000,24300,JVA
2015-12-15,4.130000,4.200000,4.050000,4.160000,4.160000,21900,JVA
2015-12-16,4.140000,4.190000,4.010000,4.030000,4.030000,61800,JVA
2015-12-17,4.070000,4.100000,4.000000,4.050000,4.050000,35200,JVA
2015-12-18,4.030000,4.090000,3.900000,4.020000,4.020000,63400,JVA
2015-12-21,4.020000,4.020000,3.750000,3.790000,3.790000,72000,JVA
2015-12-22,3.750000,3.930000,3.750000,3.830000,3.830000,25900,JVA
2015-12-23,3.830000,4.000000,3.810000,3.950000,3.950000,19200,JVA
2015-12-24,3.920000,3.960000,3.900000,3.900000,3.900000,14000,JVA
2015-12-28,3.890000,3.890000,3.800000,3.800000,3.800000,16900,JVA
2015-12-29,3.780000,3.920000,3.750000,3.880000,3.880000,32400,JVA
2015-12-30,3.910000,3.950000,3.770000,3.850000,3.850000,44500,JVA
2015-12-31,3.770000,3.950000,3.730000,3.850000,3.850000,64400,JVA
2016-01-04,3.810000,3.810000,3.500000,3.540000,3.540000,77900,JVA
2016-01-05,3.590000,3.610000,3.550000,3.550000,3.550000,15300,JVA
2016-01-06,3.540000,3.540000,3.400000,3.470000,3.470000,24300,JVA
2016-01-07,3.450000,3.450000,3.320000,3.360000,3.360000,35600,JVA
2016-01-08,3.410000,3.510000,3.410000,3.440000,3.440000,15000,JVA
2016-01-11,3.490000,3.500000,3.340000,3.400000,3.400000,16100,JVA
2016-01-12,3.390000,3.670000,3.360000,3.360000,3.360000,32200,JVA
2016-01-13,3.400000,3.460000,3.260000,3.290000,3.290000,40900,JVA
2016-01-14,3.270000,3.350000,3.270000,3.310000,3.310000,25100,JVA
2016-01-15,3.250000,3.340000,3.230000,3.240000,3.240000,33900,JVA
2016-01-19,3.340000,3.340000,3.240000,3.300000,3.300000,9500,JVA
2016-01-20,3.240000,3.330000,3.000000,3.330000,3.330000,43900,JVA
2016-01-21,3.320000,3.320000,3.010000,3.320000,3.320000,4100,JVA
2016-01-22,3.380000,3.430000,3.350000,3.370000,3.370000,8400,JVA
2016-01-25,3.460000,3.460000,3.330000,3.430000,3.430000,6700,JVA
2016-01-26,3.580000,3.830000,3.520000,3.670000,3.670000,79100,JVA
2016-01-27,3.590000,3.790000,3.590000,3.590000,3.590000,14600,JVA
2016-01-28,3.570000,3.570000,3.410000,3.550000,3.550000,35500,JVA
2016-01-29,3.550000,3.550000,3.370000,3.370000,3.370000,7300,JVA
2016-02-01,3.400000,3.490000,3.390000,3.400000,3.400000,10300,JVA
2016-02-02,3.390000,3.410000,3.360000,3.370000,3.370000,9200,JVA
2016-02-03,3.370000,3.390000,3.360000,3.370000,3.370000,15200,JVA
2016-02-04,3.390000,3.530000,3.360000,3.480000,3.480000,14900,JVA
2016-02-05,3.540000,3.540000,3.330000,3.340000,3.340000,8800,JVA
2016-02-08,3.530000,3.530000,3.370000,3.410000,3.410000,7000,JVA
2016-02-09,3.450000,3.450000,3.280000,3.390000,3.390000,7000,JVA
2016-02-10,3.420000,3.420000,3.250000,3.260000,3.260000,18800,JVA
2016-02-11,3.270000,3.370000,3.220000,3.300000,3.300000,6000,JVA
2016-02-12,3.300000,3.330000,3.250000,3.260000,3.260000,10300,JVA
2016-02-16,3.400000,3.400000,3.360000,3.370000,3.370000,4700,JVA
2016-02-17,3.360000,3.380000,3.170000,3.180000,3.180000,55800,JVA
2016-02-18,3.180000,3.200000,3.120000,3.140000,3.140000,24600,JVA
2016-02-19,3.100000,3.250000,3.100000,3.110000,3.110000,7100,JVA
2016-02-22,3.090000,3.290000,3.050000,3.200000,3.200000,71800,JVA
2016-02-23,3.200000,3.270000,3.130000,3.150000,3.150000,40200,JVA
2016-02-24,3.150000,3.210000,3.080000,3.140000,3.140000,34900,JVA
2016-02-25,3.140000,3.220000,3.140000,3.200000,3.200000,31800,JVA
2016-02-26,3.250000,3.400000,3.220000,3.340000,3.340000,75500,JVA
2016-02-29,3.300000,3.440000,3.270000,3.270000,3.270000,77500,JVA
2016-03-01,3.310000,3.450000,3.280000,3.420000,3.420000,19200,JVA
2016-03-02,3.440000,3.480000,3.390000,3.460000,3.460000,32300,JVA
2016-03-03,3.450000,3.740000,3.450000,3.670000,3.670000,83900,JVA
2016-03-04,3.730000,3.880000,3.630000,3.690000,3.690000,58500,JVA
2016-03-07,3.680000,3.860000,3.360000,3.370000,3.370000,81600,JVA
2016-03-08,3.440000,3.510000,3.370000,3.390000,3.390000,46800,JVA
2016-03-09,3.550000,3.750000,3.420000,3.600000,3.600000,43500,JVA
2016-03-10,3.630000,3.700000,3.490000,3.530000,3.530000,15200,JVA
2016-03-11,3.580000,3.770000,3.480000,3.650000,3.650000,20200,JVA
2016-03-14,3.700000,3.700000,3.520000,3.630000,3.630000,29600,JVA
2016-03-15,3.650000,3.720000,3.520000,3.640000,3.640000,19000,JVA
2016-03-16,3.600000,3.760000,3.600000,3.700000,3.700000,13300,JVA
2016-03-17,3.790000,3.790000,3.690000,3.780000,3.780000,31800,JVA
2016-03-18,3.800000,4.000000,3.750000,4.000000,4.000000,83100,JVA
2016-03-21,3.960000,3.990000,3.870000,3.910000,3.910000,44800,JVA
2016-03-22,3.850000,4.000000,3.770000,3.980000,3.980000,62700,JVA
2016-03-23,4.000000,4.000000,3.540000,3.920000,3.920000,27300,JVA
2016-03-24,3.980000,4.000000,3.870000,3.930000,3.930000,10300,JVA
2016-03-28,3.960000,4.000000,3.900000,3.960000,3.960000,18300,JVA
2016-03-29,3.920000,4.000000,3.850000,3.850000,3.850000,45200,JVA
2016-03-30,3.910000,3.960000,3.910000,3.940000,3.940000,15400,JVA
2016-03-31,3.880000,3.990000,3.880000,3.900000,3.900000,43200,JVA
2016-04-01,3.860000,3.980000,3.860000,3.910000,3.910000,16800,JVA
2016-04-04,3.940000,4.000000,3.930000,3.980000,3.980000,42400,JVA
2016-04-05,3.930000,4.000000,3.910000,3.970000,3.970000,45700,JVA
2016-04-06,4.000000,4.180000,3.990000,4.130000,4.130000,35400,JVA
2016-04-07,4.150000,4.220000,4.060000,4.160000,4.160000,27100,JVA
2016-04-08,4.160000,4.280000,3.950000,4.270000,4.270000,18300,JVA
2016-04-11,4.300000,4.330000,4.070000,4.310000,4.310000,34500,JVA
2016-04-12,4.350000,4.420000,4.350000,4.370000,4.370000,7700,JVA
2016-04-13,4.440000,4.480000,4.330000,4.430000,4.430000,18700,JVA
2016-04-14,4.430000,4.490000,4.430000,4.480000,4.480000,30300,JVA
2016-04-15,4.460000,4.470000,4.260000,4.260000,4.260000,36300,JVA
2016-04-18,4.300000,4.420000,4.300000,4.310000,4.310000,14900,JVA
2016-04-19,4.350000,4.460000,4.350000,4.360000,4.360000,7800,JVA
2016-04-20,4.320000,4.390000,4.220000,4.230000,4.230000,12100,JVA
2016-04-21,4.260000,4.260000,4.110000,4.120000,4.120000,13900,JVA
2016-04-22,4.070000,4.260000,4.020000,4.170000,4.170000,21200,JVA
2016-04-25,4.170000,4.200000,4.010000,4.030000,4.030000,16100,JVA
2016-04-26,4.020000,4.120000,3.750000,3.770000,3.770000,64900,JVA
2016-04-27,3.810000,3.990000,3.770000,3.840000,3.840000,14200,JVA
2016-04-28,3.800000,4.000000,3.800000,3.840000,3.840000,18400,JVA
2016-04-29,3.950000,3.950000,3.690000,3.710000,3.710000,13400,JVA
2016-05-02,3.690000,3.930000,3.550000,3.810000,3.810000,31500,JVA
2016-05-03,3.850000,3.920000,3.710000,3.860000,3.860000,16500,JVA
2016-05-04,3.820000,3.870000,3.720000,3.720000,3.720000,6800,JVA
2016-05-05,3.760000,3.800000,3.590000,3.600000,3.600000,28900,JVA
2016-05-06,3.610000,3.750000,3.610000,3.710000,3.710000,12600,JVA
2016-05-09,3.680000,3.780000,3.680000,3.770000,3.770000,14000,JVA
2016-05-10,3.800000,3.890000,3.760000,3.880000,3.880000,5400,JVA
2016-05-11,3.860000,3.940000,3.810000,3.830000,3.830000,8700,JVA
2016-05-12,3.880000,3.940000,3.820000,3.890000,3.890000,15800,JVA
2016-05-13,3.900000,3.910000,3.840000,3.880000,3.880000,6100,JVA
2016-05-16,3.830000,3.830000,3.590000,3.720000,3.720000,15000,JVA
2016-05-17,3.670000,3.780000,3.670000,3.700000,3.700000,11800,JVA
2016-05-18,3.700000,3.720000,3.650000,3.720000,3.720000,8500,JVA
2016-05-19,3.660000,3.700000,3.510000,3.520000,3.520000,18600,JVA
2016-05-20,3.690000,3.690000,3.510000,3.540000,3.540000,6800,JVA
2016-05-23,3.580000,3.630000,3.560000,3.570000,3.570000,10900,JVA
2016-05-24,3.590000,3.620000,3.500000,3.580000,3.580000,7100,JVA
2016-05-25,3.570000,3.640000,3.560000,3.570000,3.570000,5300,JVA
2016-05-26,3.610000,3.650000,3.590000,3.650000,3.650000,8100,JVA
2016-05-27,3.600000,3.700000,3.590000,3.700000,3.700000,2800,JVA
2016-05-31,3.660000,3.730000,3.660000,3.710000,3.710000,12200,JVA
2016-06-01,3.670000,3.750000,3.660000,3.730000,3.730000,8200,JVA
2016-06-02,3.690000,3.810000,3.660000,3.770000,3.770000,25800,JVA
2016-06-03,4.110000,6.150000,4.110000,4.460000,4.460000,6929500,JVA
2016-06-06,4.500000,4.870000,4.300000,4.840000,4.840000,750800,JVA
2016-06-07,4.790000,4.950000,4.550000,4.850000,4.850000,335100,JVA
2016-06-08,4.810000,4.950000,4.550000,4.900000,4.900000,100500,JVA
2016-06-09,5.000000,5.370000,4.950000,5.280000,5.280000,385400,JVA
2016-06-10,5.280000,5.280000,4.850000,5.000000,5.000000,171100,JVA
2016-06-13,4.950000,5.140000,4.850000,4.930000,4.930000,59100,JVA
